pl_name,radius_earth,mass_earth,semi_major_axis_au,period_days,insol_earth,t_eq_K,star_teff_K,star_radius_solar,star_mass_solar,source
Kepler-340 c,3.373909,11.282964999999999,0.178,22.824669,154.653,946.0,6620.0,1.85,1.65,NASA
Kepler-341 b,1.176945,1.7575999,0.06,5.195528,422.097,1085.0,6012.0,1.024,0.976,NASA
Kepler-341 c,1.703768,3.527913,0.08,8.01041,237.43,940.0,6012.0,1.024,0.976,NASA
Kepler-341 d,1.849485,4.068224,0.182,27.666313,45.423,622.0,6012.0,1.024,0.976,NASA
Kepler-341 e,1.995202,4.608535,0.242,42.473269,25.667,539.0,6012.0,1.024,0.976,NASA
Kepler-342 b,2.253009,5.689157,0.128,15.170318,160.261,905.0,6175.0,1.472,1.213,NASA
Kepler-342 c,1.9615749999999998,4.513186,0.185,26.234138,77.29,754.0,6175.0,1.472,1.213,NASA
Kepler-342 d,2.488398,6.769779,0.242,39.459357,44.828,658.0,6175.0,1.472,1.213,NASA
Kepler-342 e,0.8799999830599999,0.6134119,0.02909,1.644224613,3111.322,1897.0,6366.0,1.34,1.26,NASA
Kepler-343 b,2.409935,6.388382999999999,0.088,8.96855,206.072,1024.0,5807.0,1.433,1.055,NASA
Kepler-343 c,2.01762,4.735666999999999,0.167,23.22182,57.932,746.0,5807.0,1.433,1.055,NASA
Kepler-344 b,2.611697,7.31009,0.153,21.963945,27.327,643.0,5774.0,0.976,0.931,NASA
Kepler-344 c,2.9479670000000002,8.994589,0.488,125.596809,2.673,360.0,5774.0,0.976,0.931,NASA
Kepler-345 Ab,0.7397940000000001,,0.066,7.415563,,,4504.0,0.62,0.59,ExoplanetEU
Kepler-345 Ac,1.199363,,0.077,9.387427,,,4504.0,0.62,0.59,ExoplanetEU
Kepler-345 b,0.7397940000000001,0.4800027575,0.066,7.415563,35.37,622.0,4504.0,0.623,0.61,NASA
Kepler-345 c,1.199363,2.2000001902,0.077,9.387427,25.83,575.0,4504.0,0.623,0.61,NASA
Kepler-346 b,2.6565329999999996,7.564354,0.071,6.511127,134.357,1008.0,6033.0,1.021,0.943,NASA
Kepler-346 c,3.071266,9.630249,0.168,23.851549,23.812,654.0,6033.0,1.021,0.943,NASA
Kepler-347 b,1.9727839999999999,4.544969,0.11,12.79836,180.549,908.0,6088.0,1.005,0.922,NASA
Kepler-347 c,1.748604,3.718611,0.183,27.320871,65.707,705.0,6088.0,1.005,0.922,NASA
Kepler-347 d,3.0400052199,9.471333999999999,0.3802,85.517344,12.75,482.0,5592.0,1.451,1.0,NASA
Kepler-348 Ab,1.524424,,0.076,7.05677,,,6503.59,1.297,1.33,ExoplanetEU
Kepler-348 Ac,1.3338709999999998,,0.138,17.265427,,,6503.59,1.297,1.33,ExoplanetEU
Kepler-348 b,1.524424,2.9240359999999996,0.076,7.05677,438.942,1196.0,6177.0,1.359,1.189,NASA
Kepler-348 c,1.3338709999999998,2.3296938999999997,0.138,17.265427,133.259,888.0,6177.0,1.359,1.189,NASA
Kepler-349 b,1.9055300000000002,94.39550999999999,0.065,5.929778,248.274,972.0,5956.0,0.927,1.083,NASA
Kepler-349 c,1.9615749999999998,4.513186,0.105,12.247629,94.491,763.0,5956.0,0.927,1.083,NASA
Kepler-35 (AB)b,8.160152,40.300844,0.60347,131.458,,,5606.0,1.0,1.6971,ExoplanetEU
Kepler-35 b,8.160152,40.36441,0.60347,131.458,,,5606.0,1.0284,0.8877,NASA
Kepler-350 b,1.849485,16.9000858305,0.104,11.189562,257.721,1037.0,6186.0,1.534,1.19,NASA
Kepler-350 c,3.104893,6.0387699999999995,0.1385,17.849,138.415,888.0,6492.3,1.25,1.0,NASA
Kepler-350 d,2.80225,14.938009999999998,0.1786,26.136,83.237,782.0,6492.3,1.25,1.0,NASA
Kepler-351 b,3.060057,4.767449999999999,0.214,37.054919,11.983,498.0,5643.0,0.854,0.81,NASA
Kepler-351 c,3.1945649999999994,11.12405,0.287,57.24809,6.712,431.0,5643.0,0.854,0.81,NASA
Kepler-351 d,2.72000003935,7.850401,0.5177,142.544247,1.989,318.0,5225.0,0.78,0.81,NASA
Kepler-352 b,0.863093,0.5657374,0.085,10.05537,50.389,694.0,5212.0,0.781,0.798,NASA
Kepler-352 c,1.244199,2.0690733,0.118,16.332995,26.373,591.0,5212.0,0.781,0.798,NASA
Kepler-352 d,0.80628175276,0.4481403,0.06574,6.887279987,81.3,788.0,5208.0,0.772,0.796,NASA
Kepler-353 Ab,1.0502833,,0.0519,5.79529495,,534.0,3915.0,0.6333,0.6145,ExoplanetEU
Kepler-353 Ac,1.804649,,0.0665,8.41100305,,472.0,3915.0,0.6333,0.6145,ExoplanetEU
Kepler-353 b,0.8855109999999999,0.6388383,0.051,5.795278,27.189,534.0,3903.0,0.504,0.553,NASA
Kepler-353 c,1.378707,2.4790739999999998,0.065,8.410894,16.561,472.0,3903.0,0.504,0.553,NASA
Kepler-354 b,1.838276,4.036441,0.054,5.47666,64.845,741.0,4648.0,0.674,0.652,NASA
Kepler-354 c,1.311453,2.2693062,0.115,16.934402,14.404,508.0,4648.0,0.674,0.652,NASA
Kepler-354 d,1.244199,2.0690733,0.146,24.209842,8.949,451.0,4648.0,0.674,0.652,NASA
Kepler-355 b,1.45717,2.7301597,0.102,11.03189,154.803,840.0,6184.0,1.066,0.933,NASA
Kepler-355 c,2.7125779999999997,7.786835,0.179,25.762294,49.973,633.0,6184.0,1.066,0.933,NASA
Kepler-356 b,1.56926,3.0893075999999997,0.057,4.612696,844.979,1294.0,6133.0,1.335,1.163,NASA
Kepler-356 c,1.804649,3.941092,0.115,13.121632,209.368,913.0,6133.0,1.335,1.163,NASA
Kepler-357 b,1.838276,4.036441,0.063,6.475434,69.57,793.0,5036.0,0.834,0.794,NASA
Kepler-357 c,2.6677419999999996,7.596137,0.12,16.85837,19.404,576.0,5036.0,0.834,0.794,NASA
Kepler-357 d,3.429954,11.632577999999999,0.246,49.499875,4.619,402.0,5036.0,0.834,0.794,NASA
Kepler-358 b,2.7237869999999997,7.850401,0.21,34.060467,21.805,554.0,5908.0,0.954,0.94,NASA
Kepler-358 c,2.847086,8.486061,0.381,83.488369,6.599,411.0,5908.0,0.954,0.94,NASA
Kepler-359 b,3.5308349999999997,12.204671999999999,0.178,25.563222,23.9,671.0,6248.0,1.086,0.827,NASA
Kepler-359 c,4.304256,2.8999985171,0.307,57.68802,8.1,512.0,6248.0,1.086,0.827,NASA
Kepler-359 d,4.012822,2.7000008113,0.372,77.095691,5.5,464.0,6248.0,1.086,0.827,NASA
Kepler-36 b,1.49800001549,3.8300008801,0.11419,13.86825,247.0,978.0,5979.0,1.634,1.034,NASA
Kepler-36 c,3.6790000456,7.1300011653999995,0.12692,16.21865,191.0,928.0,5979.0,1.634,1.034,NASA
Kepler-360 b,1.6477229999999998,3.368998,0.044,3.289672,415.434,1116.0,6053.0,1.058,0.994,NASA
Kepler-360 c,2.096083,5.053497,0.075,7.186434,146.5,860.0,6053.0,1.058,0.994,NASA
Kepler-361 b,1.445961,2.6983767,0.086,8.486616,411.905,1060.0,6169.0,1.343,1.191,NASA
Kepler-361 c,2.522025,6.896911,0.3,55.188023,33.948,568.0,6169.0,1.343,1.191,NASA
Kepler-362 Ab,0.8855109999999999,,0.087,10.327186,,,5745.22,1.2835,1.03,ExoplanetEU
Kepler-362 Ac,1.445961,,0.207,37.866281,,,5745.22,1.2835,1.03,ExoplanetEU
Kepler-362 b,0.8855109999999999,0.6134119,0.087,10.327186,207.336,838.0,5788.0,0.722,0.904,NASA
Kepler-362 c,1.445961,2.6983767,0.207,37.866281,36.667,543.0,5788.0,0.722,0.904,NASA
Kepler-363 b,1.1545269999999999,1.6558943,0.048,3.614568,1000.243,1347.0,5593.0,1.485,1.226,NASA
Kepler-363 c,1.692559,66.42647,0.079,7.542427,376.29,1054.0,5593.0,1.485,1.226,NASA
Kepler-363 d,2.051247,4.862799,0.107,11.932125,203.761,905.0,5593.0,1.485,1.226,NASA
Kepler-364 b,1.546842,3.0225633,0.178,25.745718,68.71,753.0,6108.0,1.284,1.076,NASA
Kepler-364 c,2.152128,5.275977999999999,0.312,59.980627,22.234,568.0,6108.0,1.284,1.076,NASA
Kepler-365 Ab,2.040038,,0.098,10.664903,,,6012.0,1.05,0.99,ExoplanetEU
Kepler-365 Ac,1.6365139999999998,,0.137,17.784129,,,6012.0,1.05,0.99,ExoplanetEU
Kepler-365 b,2.040038,4.831016,0.098,10.664903,132.15,865.0,6012.0,1.048,1.02,NASA
Kepler-365 c,1.6365139999999998,3.337215,0.137,17.784129,66.87,729.0,6012.0,1.048,1.02,NASA
Kepler-366 b,1.45717,2.7301597,0.045,3.281959,1873.311,1326.0,6209.0,1.048,1.088,NASA
Kepler-366 c,1.79344,3.8457429999999997,0.11,12.51616,286.6,848.0,6209.0,1.048,1.088,NASA
Kepler-367 b,1.300244,2.2407014999999997,0.201,37.815724,5.985,401.0,4710.0,0.695,0.768,NASA
Kepler-367 c,1.199363,1.8688403999999998,0.253,53.578637,3.761,357.0,4710.0,0.695,0.768,NASA
Kepler-368 b,3.2618189999999996,10.679087999999998,0.186,26.84768,107.58,800.0,5502.0,2.019,1.165,NASA
Kepler-368 c,3.8783139999999996,14.334133,0.36,72.379334,28.681,575.0,5502.0,2.019,1.165,NASA
Kepler-369 Ab,1.132109,,0.03,2.732756,,,3591.0,0.47,0.54,ExoplanetEU
Kepler-369 Ac,1.412334,,0.094,14.871572,,,3591.0,0.47,0.54,ExoplanetEU
Kepler-369 b,1.132109,1.5065142,0.03,2.732756,40.295,687.0,3591.0,0.471,0.5,NASA
Kepler-369 c,1.412334,2.5712447,0.094,14.871572,4.21,391.0,3591.0,0.471,0.5,NASA
Kepler-37 b,0.30980050695,0.7900046046,0.1019,13.36702,44.5,718.0,5357.0,0.789,0.79,NASA
Kepler-37 c,0.7550012503,1.3000073358,0.139,21.301848,23.9,615.0,5357.0,0.789,0.79,NASA
Kepler-37 d,2.03000347902,2.000008841,0.2109,39.7922622,10.39,499.0,5357.0,0.789,0.79,NASA
Kepler-37 e,0.37000068324999996,8.1000405735,0.25,51.196,,401.0,5288.0,0.772,0.8,NASA
Kepler-370 b,1.5916779999999997,3.1560518999999996,0.054,4.57953,361.514,1040.0,5852.0,0.9,0.982,NASA
Kepler-370 c,1.9055300000000002,4.322488,0.14,19.02293,54.197,647.0,5852.0,0.9,0.982,NASA
Kepler-371 b,1.8943210000000001,4.227138999999999,0.2,34.763278,41.737,554.0,5666.0,0.992,0.876,NASA
Kepler-371 c,1.782231,3.81396,0.313,67.968015,17.063,443.0,5666.0,0.992,0.876,NASA
Kepler-372 b,1.3562889999999999,2.4186862999999996,0.075,6.849692,384.627,1081.0,6509.0,1.137,1.202,NASA
Kepler-372 c,2.084874,5.021714,0.154,20.053763,91.881,755.0,6509.0,1.137,1.202,NASA
Kepler-372 d,1.692559,3.4961299999999995,0.201,30.092568,53.471,660.0,6509.0,1.137,1.202,NASA
Kepler-373 b,1.3562889999999999,2.4186862999999996,0.06,5.535309,453.872,1054.0,5787.0,0.845,0.981,NASA
Kepler-373 c,1.244199,2.0690733,0.126,16.725948,103.756,729.0,5787.0,0.845,0.981,NASA
Kepler-374 b,1.031228,1.080622,0.029,1.897806,2014.661,1761.0,5977.0,0.911,1.033,NASA
Kepler-374 c,1.098482,1.366669,0.042,3.282807,966.591,1467.0,5977.0,0.911,1.033,NASA
Kepler-374 d,1.311453,2.2693062,0.056,5.028219,548.099,1272.0,5977.0,0.911,1.033,NASA
Kepler-375 b,1.445961,2.6983767,0.101,12.125934,64.444,851.0,5826.0,0.837,0.891,NASA
Kepler-375 c,2.6453239999999996,7.500787999999999,0.141,19.986326,33.152,720.0,5826.0,0.837,0.891,NASA
Kepler-376 b,1.0648549999999999,1.2395369999999999,0.057,4.920199,689.912,1242.0,5900.0,1.175,0.968,NASA
Kepler-376 c,1.79344,3.8457429999999997,0.115,14.172327,168.29,873.0,5900.0,1.175,0.968,NASA
Kepler-377 b,1.389916,2.510857,0.109,12.509529,139.112,875.0,5949.0,1.224,1.043,NASA
Kepler-377 c,2.062456,4.894582,0.182,27.014976,49.855,677.0,5949.0,1.224,1.043,NASA
Kepler-378 b,0.751003,0.3464347,0.112,16.092361,17.819,503.0,4661.0,0.671,0.78,NASA
Kepler-378 c,0.694958,0.27079116,0.166,28.906009,8.166,414.0,4661.0,0.671,0.78,NASA
Kepler-379 Ab,1.6589319999999999,,0.152,20.09838,,,6054.0,1.31,1.08,ExoplanetEU
Kepler-379 Ac,2.2866359999999997,,0.326,62.784697,,,6054.0,1.31,1.08,ExoplanetEU
Kepler-379 b,1.6589319999999999,3.400781,0.152,20.09838,90.346,775.0,6054.0,1.306,1.125,NASA
Kepler-379 c,2.2866359999999997,5.848071999999999,0.326,62.784697,19.793,530.0,6054.0,1.306,1.125,NASA
Kepler-38 (AB)b,4.37151,120.77539999999999,0.4644,105.595,,,5640.0,1.757,0.949,ExoplanetEU
Kepler-38 b,4.304256,122.04672,0.4632,105.599,,475.0,5623.0,1.752,0.941,NASA
Kepler-380 Ab,1.188154,,0.05,3.930821,,,6045.0,1.22,1.05,ExoplanetEU
Kepler-380 Ac,1.266617,,0.078,7.630004,,,6045.0,1.22,1.05,ExoplanetEU
Kepler-380 b,1.188154,1.811631,0.05,3.930821,808.093,1317.0,6045.0,1.224,0.99,NASA
Kepler-380 c,1.266617,2.1548874,0.078,7.630004,333.565,1056.0,6045.0,1.224,0.99,NASA
Kepler-381 b,0.9863919999999999,0.9375984999999999,0.066,5.629021,716.085,1576.0,6152.0,1.568,1.144,NASA
Kepler-381 c,1.1209,1.4588397,0.117,13.391635,225.331,1180.0,6152.0,1.568,1.144,NASA
Kepler-381 d,1.06678832832,1.2268238,0.08364,8.256299973,436.7,1387.0,6197.0,2.188,1.198,NASA
Kepler-382 b,1.3226619999999998,2.3010892,0.055,5.262155,381.465,1166.0,5600.0,0.945,1.002,NASA
Kepler-382 c,1.5916779999999997,3.1560518999999996,0.097,12.162701,124.743,882.0,5600.0,0.945,1.002,NASA
Kepler-383 Ab,1.3226619999999998,,0.095,12.904532,,,4710.0,0.67,0.67,ExoplanetEU
Kepler-383 Ac,1.244199,,0.172,31.200751,,,4710.0,0.67,0.67,ExoplanetEU
Kepler-383 b,1.3226619999999998,2.3010892,0.095,12.904532,20.91,545.0,4710.0,0.672,0.669,NASA
Kepler-383 c,1.244199,2.0690733,0.172,31.200751,6.44,406.0,4710.0,0.672,0.669,NASA
Kepler-384 b,1.1209,1.4588397,0.148,22.597053,101.549,670.0,5577.0,0.882,0.882,NASA
Kepler-384 c,1.132109,1.5065142,0.236,45.348269,40.099,531.0,5577.0,0.882,0.882,NASA
Kepler-385 b,2.7349959999999998,12.7132,0.097,10.043686,143.919,951.0,6326.0,1.126,0.992,NASA
Kepler-385 c,3.037639,13.34886,0.127,15.163161,83.155,829.0,6326.0,1.126,0.992,NASA
Kepler-385 d,2.61864478656,7.3736559999999995,0.2872,56.4159,15.0,535.0,5829.0,1.157,1.05,NASA
Kepler-386 b,1.389916,2.510857,0.096,12.31043,43.262,651.0,5178.0,0.767,0.825,NASA
Kepler-386 c,1.580469,3.1210906,0.155,25.193458,16.657,513.0,5178.0,0.767,0.825,NASA
Kepler-387 b,1.031228,1.080622,0.068,6.791636,304.081,994.0,5774.0,1.046,0.85,NASA
Kepler-387 c,0.8855109999999999,0.6388383,0.098,11.837549,144.963,826.0,5774.0,1.046,0.85,NASA
Kepler-388 Ab,0.8070479999999999,,0.036,3.173315,,,4498.0,0.59,0.59,ExoplanetEU
Kepler-388 Ac,0.863093,,0.093,13.297004,,,4498.0,0.59,0.59,ExoplanetEU
Kepler-388 b,0.8070479999999999,0.4576752,0.036,3.173315,112.21,830.0,4498.0,0.586,0.635,NASA
Kepler-388 c,0.863093,0.5657374,0.093,13.297004,16.64,515.0,4498.0,0.586,0.635,NASA
Kepler-389 b,1.513215,2.8890747,0.041,3.244107,167.058,1047.0,5376.0,0.792,0.765,NASA
Kepler-389 c,1.45717,2.7301597,0.11,14.51143,22.735,636.0,5376.0,0.792,0.765,NASA
Kepler-39 b,13.89916,6388.383,0.164,21.08721,90.22,897.0,6350.0,1.4,1.29,NASA
Kepler-390 Ab,0.7297059,,0.0647,6.73808701,,786.0,5174.86,0.829,0.877,ExoplanetEU
Kepler-390 Ac,0.7958389999999999,,0.1006,13.0600399,,630.0,5174.86,0.829,0.877,ExoplanetEU
Kepler-390 b,0.8182569999999999,0.476745,0.065,6.738088,99.972,786.0,5166.0,0.776,0.787,NASA
Kepler-390 c,0.78463,0.4163573,0.101,13.060022,41.351,630.0,5166.0,0.776,0.787,NASA
Kepler-391 b,2.50000435905,1100.0055141015,0.083,7.4175,690.0,930.0,5038.0,2.879,1.27,NASA
Kepler-391 c,2.88000492747,450.0022562022,0.164,20.501,179.0,662.0,5038.0,2.879,1.27,NASA
Kepler-392 b,0.997601,0.9725597999999999,0.059,5.341853,450.654,1125.0,5938.0,1.129,0.874,NASA
Kepler-392 c,1.098482,1.366669,0.093,10.423118,185.098,901.0,5938.0,1.129,0.874,NASA
Kepler-393 Ab,1.289035,,0.091,9.182417,,,6189.0,1.38,1.32,ExoplanetEU
Kepler-393 Ac,1.3338709999999998,,0.124,14.613612,,,6189.0,1.38,1.32,ExoplanetEU
Kepler-393 b,1.289035,2.2120968,0.091,9.182417,429.813,1052.0,6189.0,1.382,1.256,NASA
Kepler-393 c,1.3338709999999998,2.3296938999999997,0.124,14.613612,231.213,901.0,6189.0,1.382,1.256,NASA
Kepler-394 b,1.6028869999999997,3.1783,0.083,8.005013,164.78,1035.0,6402.0,1.132,0.87,NASA
Kepler-394 c,1.6589319999999999,3.400781,0.11,12.130686,94.528,901.0,6402.0,1.132,0.87,NASA
Kepler-394 d,1.50067067183,2.86047,0.05904,5.613580227,302.0,1165.0,6398.0,1.101,1.141,NASA
Kepler-395 b,1.031228,1.080622,0.061,7.054346,17.8,576.0,4262.0,0.556,0.622827,NASA
Kepler-395 c,1.3226619999999998,2.3010892,0.177,34.989262,2.11,341.0,4262.0,0.556,0.622827,NASA
Kepler-396 b,3.497208,75.64353999999999,0.24067,42.994,13.731,496.0,5656.0,1.06,0.85,NASA
Kepler-396 c,5.301856999999999,17.798479999999998,0.38946,88.505,5.244,390.0,5656.0,1.06,0.85,NASA
Kepler-397 Ab,2.454771,,0.144,22.250949,,,5307.0,0.77,,ExoplanetEU
Kepler-397 Ac,6.176159,,0.48,135.498527,,,5307.0,0.77,,ExoplanetEU
Kepler-397 b,2.454771,6.610863999999999,0.144,22.250949,20.01,539.0,5307.0,0.767,0.844,NASA
Kepler-397 c,6.176159,31.624085,0.48,135.498527,1.8,295.0,5307.0,0.767,0.844,NASA
Kepler-398 b,0.930347,0.7500788,0.044,4.081423,81.287,755.0,4493.0,0.613,0.649,NASA
Kepler-398 c,1.00881,1.0075211,0.087,11.419412,20.556,536.0,4493.0,0.613,0.649,NASA
Kepler-398 d,0.8799999830599999,0.6134119,0.0618,6.83437001,40.831,636.0,4557.0,0.67,0.72,NASA
Kepler-399 b,0.9639739999999999,0.8390711999999999,0.103,14.425281,35.63,773.0,5502.0,0.68,0.902,NASA
Kepler-399 c,1.434752,2.6348107,0.155,26.67569,15.69,630.0,5502.0,0.68,0.902,NASA
Kepler-399 d,1.8943210000000001,4.227138999999999,0.261,58.034616,5.57,486.0,5502.0,0.68,0.902,NASA
Kepler-4 b,4.001613,24.47291,0.0456,3.21346,1245.431,1650.0,5857.0,1.487,1.223,NASA
Kepler-40 b,13.114529999999998,699.226,0.08,6.87349,1187.965,1620.0,6510.0,2.13,1.48,NASA
Kepler-400 Ab,1.6477229999999998,,0.087,9.024389,,,6258.0,1.15,,ExoplanetEU
Kepler-400 Ac,1.490797,,0.134,17.340824,,,6258.0,1.15,,ExoplanetEU
Kepler-400 b,1.6477229999999998,3.368998,0.087,9.024389,183.39,939.0,5886.0,1.145,1.08,NASA
Kepler-400 c,1.490797,2.8255087,0.134,17.340824,76.86,755.0,5886.0,1.145,1.08,NASA
Kepler-401 b,1.714977,3.5596959999999997,0.122,14.383035,254.25,889.0,6117.0,1.333,1.173,NASA
Kepler-401 c,2.152128,5.275977999999999,0.269,47.318218,51.996,598.0,6117.0,1.333,1.173,NASA
Kepler-401 d,2.2700000505599998,5.784506,0.66886,184.256405,8.485,380.0,6184.0,1.29,1.17,NASA
Kepler-402 b,1.221781,1.9832591999999998,0.051,4.028751,619.844,1311.0,6090.0,1.264,1.072,NASA
Kepler-402 c,1.558051,3.0543463,0.068,6.124821,353.973,1140.0,6090.0,1.264,1.072,NASA
Kepler-402 d,1.378707,2.4790739999999998,0.087,8.921099,214.277,1006.0,6090.0,1.264,1.072,NASA
Kepler-402 e,1.45717,2.7301597,0.102,11.242861,157.481,931.0,6090.0,1.264,1.072,NASA
Kepler-403 b,1.255408,2.0976779999999997,0.076,7.031462,689.457,1194.0,6090.0,1.329,1.299,NASA
Kepler-403 c,1.748604,3.718611,0.297,54.280749,45.154,604.0,6090.0,1.329,1.299,NASA
Kepler-403 d,1.41999994719,2.6030276999999997,0.12178,13.61159129,285.295,958.0,6209.0,1.45,1.25,NASA
Kepler-404 b,1.266617,2.1548874,0.102,11.829851,44.534,730.0,5654.0,0.884,0.86,NASA
Kepler-404 c,1.714977,3.5914789999999996,0.118,14.751166,33.153,678.0,5654.0,0.884,0.86,NASA
Kepler-405 b,2.084874,4.9899309999999995,0.095,10.613839,55.623,785.0,5818.0,0.893,0.873,NASA
Kepler-405 c,4.6629439999999995,19.578328,0.188,29.726682,14.086,557.0,5818.0,0.893,0.873,NASA
Kepler-406 b,1.4302683999999999,6.3566,0.03599,2.42629,826.933,1302.0,5538.0,1.07,1.07,NASA
Kepler-406 c,0.851884,2.86047,0.05531,4.62332,349.769,1050.0,5538.0,1.07,1.07,NASA
Kepler-407 Ab,1.16102822,1.6689253299999998,0.0153,0.669310092,,1983.0,5476.0,1.057,0.96,ExoplanetEU
Kepler-407 Ac,,,3.27,2091.7494,,,5476.0,1.057,0.96,ExoplanetEU
Kepler-407 b,1.1900020278299999,1.9300099618,0.01531,0.6693124,4102.008,1983.0,5487.0,1.04,0.99,NASA
Kepler-407 c,12.3299,4004.658,3.27090369,3000.0,,,5476.0,1.01,1.0,NASA
Kepler-408 b,0.8182569999999999,4.9999998544,0.03592,2.46502,1503.581,1561.0,6104.0,1.23,1.08,NASA
Kepler-409 b,1.1990020702,6.0000297013,0.3192,68.9583216,6.15,438.0,5421.0,0.897,0.913,NASA
Kepler-41 b,14.45961,177.9848,0.03101,1.8555582,2036.749,1790.0,5750.0,1.29,1.15,NASA
Kepler-410 A b,2.835877,8.422495,0.1226,17.833648,159.5,866.0,6273.0,1.352,1.214,NASA
Kepler-410 Ab,2.835877,,0.1226,17.833648,,,6273.0,1.35,1.21,ExoplanetEU
Kepler-411 Ab,1.86596223,25.585314999999998,0.03831,3.005156,,1138.0,4837.0,0.82,0.87,ExoplanetEU
Kepler-411 Ac,3.2380559200000003,26.411672999999997,0.07258,7.834435,,838.0,4837.0,0.82,0.87,ExoplanetEU
Kepler-411 Ad,3.37603871,15.1986306,0.2757,58.02035,,410.0,4837.0,0.82,0.87,ExoplanetEU
Kepler-411 Ae,,10.799863400000001,0.186,31.509728,,503.0,4837.0,0.82,0.87,ExoplanetEU
Kepler-411 b,2.40099996983,25.599998745999997,0.0375,3.005156,201.3,1138.0,4974.0,0.82,0.87,NASA
Kepler-411 c,4.4209999768,26.399999104099997,0.0739,7.834435,56.0,838.0,4974.0,0.82,0.87,NASA
Kepler-411 d,3.31900003215,15.200000447299999,0.279,58.02035,3.9,410.0,4974.0,0.82,0.87,NASA
Kepler-411 e,3.2842369999999996,10.8000000669,0.186,31.509728,,503.0,4974.0,0.82,0.87,NASA
Kepler-412 b,15.031269,299.07802999999996,0.02897,1.7208604,2144.307,1850.0,5750.0,1.287,1.167,NASA
Kepler-413 (AB)b,4.3502129,67.06213,0.3553,66.262,,,4700.0,0.7761,1.3623,ExoplanetEU
Kepler-413 b,4.349092,67.06213,0.3553,66.262,,,4700.0,0.7761,0.82,NASA
Kepler-414 b,1.714977,3.4961299999999995,0.0543,4.7,241.171,1024.0,5536.0,0.946,0.89,NASA
Kepler-414 c,3.015221,29.876019999999997,0.07195,7.171,137.086,890.0,5536.0,0.946,0.89,NASA
Kepler-415 b,1.210572,119.82190999999999,0.0426,4.176,69.834,694.0,4362.0,0.643,0.67,NASA
Kepler-415 c,2.0100034845,4.703884,0.0695,8.708,26.237,543.0,4362.0,0.643,0.67,NASA
Kepler-416 b,2.477189,58.16289,0.0674,6.319,224.089,986.0,5718.0,1.075,1.0,NASA
Kepler-416 c,2.35200408575,6.134119,0.10454,12.209,93.072,791.0,5718.0,1.075,1.0,NASA
Kepler-416 d,1.6100028094699999,3.2100829999999996,0.0407,3.07644709,583.25,1253.0,5670.0,1.022,0.949,NASA
Kepler-417 b,2.3090539999999997,11.12405,0.1006,12.331,43.624,671.0,5177.0,0.806,0.9,NASA
Kepler-417 c,2.69000004757,7.691485999999999,0.1194,15.943,30.968,616.0,5177.0,0.806,0.9,NASA
Kepler-418 b,13.4508,349.613,0.39249,86.67856,8.877,434.0,5820.0,1.09,0.98,NASA
Kepler-418 c,5.22109548246,23.741901,0.10632,12.21829987,107.6,835.0,5822.0,1.081,0.957,NASA
Kepler-419 b,10.760639999999999,794.5749999999999,0.37,69.7546,37.416,613.0,6430.0,1.74,1.39,NASA
Kepler-419 c,12.66617,2320.1589999999997,1.68,675.47,,,6430.0,1.74,1.39,NASA
Kepler-42 b,0.78463,0.7059481044999999,0.0116,1.2137672,22.388,519.0,3068.0,0.17,0.13,NASA
Kepler-42 c,0.728585,60.3373016969,0.006,0.45328509,82.125,720.0,3068.0,0.17,0.13,NASA
Kepler-42 d,0.5716589999999999,0.35778758759999996,0.0154,1.865169,12.538,450.0,3068.0,0.17,0.13,NASA
Kepler-420 Ab,10.53646,460.85349999999994,0.382,86.647661,,511.0,5520.0,1.13,0.99,ExoplanetEU
Kepler-421 Ab,4.158539,,1.219,704.1984,,185.0,5265.34,0.8117,0.902,ExoplanetEU
Kepler-421 b,4.158539,16.145764,1.219,704.1984,0.2,185.0,5308.0,0.757,0.794,NASA
Kepler-422 b,12.890349999999998,136.6669,0.082,7.8914483,264.983,1028.0,5972.0,1.24,1.15,NASA
Kepler-423 b,13.361127999999999,189.10885,0.03585,2.6843285,649.148,1605.0,5560.0,0.95,0.85,NASA
Kepler-424 b,9.97601,327.3649,0.044,3.3118644,470.754,1116.0,5460.0,0.94,1.01,NASA
Kepler-424 c,12.66617,2215.2751,0.73,223.3,,,5460.0,0.94,1.01,NASA
Kepler-425 b,10.962401999999999,79.4575,0.0464,3.79701816,229.036,1070.0,5170.0,0.86,0.93,NASA
Kepler-426 b,12.21781,108.0622,0.0414,3.21751883,410.723,1300.0,5725.0,0.92,0.91,NASA
Kepler-427 b,13.78707,92.17069999999998,0.091,10.290994,208.721,1100.0,5800.0,1.35,0.96,NASA
Kepler-428 b,12.10572,403.6441,0.0433,3.52563254,195.088,1070.0,5150.0,0.8,0.87,NASA
Kepler-43 b,13.663771,1026.5909,0.046,3.0240949,1138.115,1620.0,6041.0,1.42,1.32,NASA
Kepler-430 b,3.2506099999999996,10.615521999999999,0.2244,35.968,40.844,667.0,5884.0,1.485,1.166,NASA
Kepler-430 c,1.79344,3.718611,0.4757,110.979,9.096,458.0,5884.0,1.485,1.166,NASA
Kepler-431 b,0.762212,0.3718611,0.0719,6.803,577.545,1032.0,6004.0,1.092,1.071,NASA
Kepler-431 c,0.6725399999999999,0.2288376,0.0847,8.703,415.545,951.0,6004.0,1.092,1.071,NASA
