pl_name,radius_earth,mass_earth,semi_major_axis_au,period_days,insol_earth,t_eq_K,star_teff_K,star_radius_solar,star_mass_solar,source
2MASS J0344+0111 b,,11441.88,9.2,,,,,,0.081,ExoplanetEU
2MASS J0348-6022,10.20019,13666.689999999999,,,,880.0,,,,ExoplanetEU
2MASS J0355+1133,13.67498,8899.24,,,,1527.0,,,,ExoplanetEU
2MASS J03590986+2009361 b,12.10572,5720.94,572.0,,,2369.0,2943.0,0.289776,0.264996,NASA
2MASS J0407+1546,10.872729999999999,21294.61,,,,1840.0,,,,ExoplanetEU
2MASS J0408+2807 b,,12713.199999999999,6.4,,,,3305.0,0.684,0.25,ExoplanetEU
2MASS J0414+2811,97.85457,16844.989999999998,2800.0,,,2963.0,,2.22,2.87,ExoplanetEU
2MASS J0415-0935,9.583694999999999,11759.71,,,,758.0,,,,ExoplanetEU
2MASS J0416+2858 b,,17480.649999999998,31.0,,,,2740.0,0.93,0.14,ExoplanetEU
2MASS J0418+2131,,14938.009999999998,,,,,,,,ExoplanetEU
2MASS J0419+2820,,1589.1499999999999,,,,,,,,ExoplanetEU
2MASS J0423+2801,105.58878,18434.14,,,,2990.0,,,,ExoplanetEU
2MASS J0434+1722 b,,4131.79,1.7,,,,3160.0,,0.18,ExoplanetEU
2MASS J0437+2331,21.18501,2256.593,,,,2112.0,,,,ExoplanetEU
2MASS J0437+2651 b,,1271.32,118.0,,,,3100.0,0.84,0.0165,ExoplanetEU
2MASS J0439+2336,126.66170000000001,18434.14,,,,2990.0,,,,ExoplanetEU
2MASS J0439-2353,10.872729999999999,15259.018299999998,,,,1290.0,,,,ExoplanetEU
2MASS J0440+2358,75.1003,18434.14,,,,2858.0,,,,ExoplanetEU
2MASS J0441+2301 Ab,45.9569,11124.05,33.0,,,2800.0,3400.0,1.1,0.2,ExoplanetEU
2MASS J0441+2301 B,39.2315,6038.7699999999995,1800.0,,,2100.0,3400.0,1.1,0.2,ExoplanetEU
2MASS J0441+2301 Bb,39.2315,3114.734,15.0,,,1800.0,,,,ExoplanetEU
2MASS J0441+2534,71.06506,8899.24,,,,2752.0,,,,ExoplanetEU
2MASS J04414489+2301513 b,12.66617,2383.725,15.0,,,,2936.0,0.231916,0.019,NASA
2MASS J0443+0002,14.5717,705.5826000000001,,,,2657.0,,,,ExoplanetEU
2MASS J0444+2512,77.3421,21453.524999999998,,,,2838.0,,,,ExoplanetEU
2MASS J0445-3048,11.209,20277.553999999996,,,,1809.0,,,,ExoplanetEU
2MASS J0447-1216,11.43318,16209.33,,,,1521.0,,,,ExoplanetEU
2MASS J0453-1751,8.518839999999999,3718.6109999999994,,,,2536.0,,,,ExoplanetEU
2MASS J0459-2853,14.79588,2542.64,,,,1152.0,,,,ExoplanetEU
2MASS J0500+0330,11.209,20239.414399999998,,,,1793.0,,,,ExoplanetEU
2MASS J0500-3330,,14302.349999999999,,,,2700.0,,,,ExoplanetEU
2MASS J0501-0010,15.468419999999998,6814.2752,,,,1560.0,,,,ExoplanetEU
2MASS J0502+1442,14.302684,5593.808,,,,2697.0,,,,ExoplanetEU
2MASS J0506+5236,11.76945,8263.58,,,,1065.0,,,,ExoplanetEU
2MASS J0510-4208,,10488.39,,,,1250.0,,,,ExoplanetEU
2MASS J0511-4903 b,,4767.45,149.0,1178220.0,,,3329.0,0.52,0.518,ExoplanetEU
2MASS J0516-0445,10.872729999999999,14995.2194,,,,1211.0,,,,ExoplanetEU
2MASS J0518-0153,56.82963,19069.8,,,,2880.0,,,,ExoplanetEU
2MASS J0518-2756,15.591719,8327.145999999999,,,,2546.0,,,,ExoplanetEU
2MASS J0518-2828,,18751.969999999998,,,,1600.0,,,,ExoplanetEU
